System Sales Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Business Dates,4/1/2024 - 4/30/2024,,,,,,,,,,,
Locations,BR332475,,,,,,,,,,,
Revenue Centers,All,,,,,,,,,,,
Sales Metrics,,,,,,,,,,,,
Net Sales,,36842.22,,,,,,,,,,
+Service Charges,,1587.97,,,,,,,,,,
+Tax Collected,,241.19,,,,,,,,,,
=Total Revenue,,38671.380000000005,,,,,,,,,,
+ Non Revenue SVC,,355,,,,,,,,,,
=Total Collections,,39026.380000000005,,,,,,,,,,
,,,,,,,,,,,,
Item Discounts,,1008.2,,,,,,,,,,
Subtotal Discounts,,0,,,,,,,,,,
Total Discounts,,1008.2,,,,,,,,,,
Cost of Goods Sold,0,0,,,,,,,,,,
Adjustments,,,,,,,,,,,,
Returns,1,6.99,,,,,,,,,,
Voids,8,41.82,,,,,,,,,,
Credit Total,,1.31,,,,,,,,,,
,,,,,,,,,,,,
Rounding Total,,0,,,,,,,,,,
Mgr Voids,0,0,,,,,,,,,,
Error Corrects,308,3111.89,,,,,,,,,,
Cancels,99,2248.48,,,,,,,,,,
,,,,,,,,,,,,
Gift Cards,,,,,,,,,,,,
Gift Card Sales,51,355,,,,,,,,,,
Tips,,,,,,,,,,,,
Service Charges,,1587.97,,,,,,,,,,
+Charge Tips,,1587.97,,,,,,,,,,
+Cash Tips Decl,,0,,,,,,,,,,
+Indirect Tips,,0,,,,,,,,,,
Total Tips,0.04282157439135182,1587.97,,,,,,,,,,
Tips Paid,,0,,,,,,,,,,
Tips Due,,3175.94,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Checks,,,,,,,,,,,,
Carried Over,1350,15147.6,,,,,,,,,,
+Checks Begun,2475,39026.38,,,,,,,,,,
- Checks Paid,2475,39026.38,,,,,,,,,,
+ Transferred In,0,0,,,,,,,,,,
- Transferred Out,0,0,,,,,,,,,,
= Outstanding,1350,15147.599999999999,,,,,,,,,,
Deposits,,,,,,,,,,,,
Cash Due,,5688.43,,,,,,,,,,
,,,,,,,,,,,,
Deposit,,0,,,,,,,,,,
,,,,,,,,,,,,
Over / Short,,-5688.43,,,,,,,,,,
Cash Collected,,,,,,,,,,,,
Cash In,,5688.43,,,,,,,,,,
+ Paid In,,0,,,,,,,,,,
- Paid Out,,0,,,,,,,,,,
- Tips Paid,,0,,,,,,,,,,
= Cash Due,,5688.43,,,,,,,,,,
Date,Manager,Note,,,,,,,,,,
Order Type,Net Sales,% Total,Guests,% Total,Avg Guest,Checks,% Total,Avg Check,Tables,% Total,Avg Table,Turn Time
Dine Out,29146.14,0.7911070505523282,0,0,0,2069,0.835959595959596,14.087066215563073,0,0,0,0
Delivery:DoorDash,3435.58,0.09325116673208074,0,0,0,176,0.07111111111111111,19.52034090909091,0,0,0,0
Advance Notice Order,2344.86,0.06364600178816586,0,0,0,52,0.02101010101010101,45.09346153846154,0,0,0,0
Eat In,1203.19,0.03265791257964368,0,0,0,139,0.05616161616161616,8.656043165467626,0,0,0,0
Delivery:Uber Eats,520.99,0.014141113103390621,0,0,0,26,0.010505050505050505,20.038076923076922,0,0,0,0
Delivery:Grubhub,82.42,0.0022371073187229217,0,0,0,4,0.0016161616161616162,20.605,0,0,0,0
Drive Thru,64.91,0.0017618373702779039,0,0,0,5,0.00202020202020202,12.982,0,0,0,0
Mobile Ordering,39.34,0.0010677966745760708,0,0,0,3,0.0012121212121212121,13.113333333333335,0,0,0,0
Pickup,4.79,0.00013001388081391402,0,0,0,1,0.00040404040404040404,4.79,0,0,0,0
Totals,36842.22,,0,,0,2475,,14.885745454545456,0,,0,
Day Part,Net Sales,% Sales,Guests,Avg Guest,Checks,Avg Check,Table Turns,Avg Minutes,,,,
5 AM - 10 AM,235.95,0.006404337197921298,0,0,5,47.19,0,0,,,,
10 AM - 2 PM,6322.37,0.17160665128214314,0,0,408,15.496004901960784,0,0,,,,
2 PM - 5 PM,11336.9,0.3077148988307436,0,0,764,14.838874345549737,0,0,,,,
5 PM - 9 PM,18128.91,0.4920688818426251,0,0,1235,14.67927935222672,0,0,,,,
9 PM - 12 AM,818.09,0.022205230846566792,0,0,63,12.985555555555557,0,0,,,,
Totals,36842.22,1,0,0,2475,14.885745454545456,0,0,,,,
Tender Type,Total,% of Total,Count,Average,,,,,,,,
Visa,21052.62,0.5394458825030658,1350,15.594533333333333,,,,,,,,
Cash,5688.43,0.14575858688405124,520,10.939288461538462,,,,,,,,
Mastercard,3851.8,0.09869734266924064,246,15.657723577235773,,,,,,,,
DoorDash Tender,3633.23,0.09309677197833874,176,20.643352272727274,,,,,,,,
BR Advance Notice Order ,2385.85,0.06113428916543117,53,45.01603773584905,,,,,,,,
American Express,877.59,0.02248709718913207,49,17.91,,,,,,,,
Uber Eats Tender,545.05,0.013966194148675842,26,20.963461538461537,,,,,,,,
Gift Card Redeem,537.47,0.013771966551855436,88,6.107613636363637,,,,,,,,
Discover,330.02,0.008456331332806167,19,17.369473684210526,,,,,,,,
Grubhub Tender,84.98,0.0021775014746435615,4,21.245,,,,,,,,
BR Mobile Tender,39.34,0.0010080361027592106,3,13.113333333333335,,,,,,,,
Totals,39026.380000000005,1,2534,15.401097079715866,,,,,,,,
Credit Card Batch Summary,Batch Count,Batch Amount,,,,,,,,,,
,0,0,,,,,,,,,,
Totals,0,0,,,,,,,,,,
Labor Category,Reg Hours,Ovt Hours,Total Hours,Reg Pay,Ovt Pay,Total Pay,% Labor/Sales,,,,,
Major Group Sales,Qty Sold,Gross Sales,Item Discounts,Sales Less Item Disc,% Sales,,,,,,,
Cups and Cones,3561,15469.11,-476.03,14993.08,0.4069537612011437,,,,,,,
Desserts,515,8569.21,-48,8521.21,0.23128926541343053,,,,,,,
Beverage,666,5167.1,-17.65,5149.450000000001,0.1397703504294801,,,,,,,
Take Home,706,5389.08,-361.24,5027.84,0.13646951785207298,,,,,,,
Sundaes,645,3106.21,-105.28,3000.93,0.08145356061605408,,,,,,,
Retail,28,146.72,0,146.72,0.003982387597707196,,,,,,,
Bakery,1,2.99,0,2.99,8.115689011139938e-05,,,,,,,
Prefixes,197,0,0,0,0,,,,,,,
Totals,6319,37850.42,-1008.1999999999999,36842.22,1,,,,,,,
