System Sales Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Business Dates,5/1/2024 - 5/31/2024,,,,,,,,,,,
Locations,BR332475,,,,,,,,,,,
Revenue Centers,All,,,,,,,,,,,
Sales Metrics,,,,,,,,,,,,
Net Sales,,47806.03,,,,,,,,,,
+Service Charges,,1983.51,,,,,,,,,,
+Tax Collected,,270.88,,,,,,,,,,
=Total Revenue,,50060.42,,,,,,,,,,
+ Non Revenue SVC,,805,,,,,,,,,,
=Total Collections,,50865.42,,,,,,,,,,
,,,,,,,,,,,,
Item Discounts,,1340.5,,,,,,,,,,
Subtotal Discounts,,0,,,,,,,,,,
Total Discounts,,1340.5,,,,,,,,,,
Cost of Goods Sold,0,0,,,,,,,,,,
Adjustments,,,,,,,,,,,,
Returns,3,18.87,,,,,,,,,,
Voids,0,0,,,,,,,,,,
Credit Total,,0.37,,,,,,,,,,
,,,,,,,,,,,,
Rounding Total,,0,,,,,,,,,,
Mgr Voids,0,0,,,,,,,,,,
Error Corrects,368,4465.55,,,,,,,,,,
Cancels,141,2403.61,,,,,,,,,,
,,,,,,,,,,,,
Gift Cards,,,,,,,,,,,,
Gift Card Sales,124,805,,,,,,,,,,
Tips,,,,,,,,,,,,
Service Charges,,1983.51,,,,,,,,,,
+Charge Tips,,1983.51,,,,,,,,,,
+Cash Tips Decl,,0,,,,,,,,,,
+Indirect Tips,,0,,,,,,,,,,
Total Tips,0.04125701922190923,1983.51,,,,,,,,,,
Tips Paid,,0,,,,,,,,,,
Tips Due,,3967.02,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Checks,,,,,,,,,,,,
Carried Over,1395,15652.52,,,,,,,,,,
+Checks Begun,3055,50865.42,,,,,,,,,,
- Checks Paid,3055,50865.42,,,,,,,,,,
+ Transferred In,0,0,,,,,,,,,,
- Transferred Out,0,0,,,,,,,,,,
= Outstanding,1395,15652.520000000004,,,,,,,,,,
Deposits,,,,,,,,,,,,
Cash Due,,6950.9,,,,,,,,,,
,,,,,,,,,,,,
Deposit,,0,,,,,,,,,,
,,,,,,,,,,,,
Over / Short,,-6950.9,,,,,,,,,,
Cash Collected,,,,,,,,,,,,
Cash In,,6950.9,,,,,,,,,,
+ Paid In,,0,,,,,,,,,,
- Paid Out,,0,,,,,,,,,,
- Tips Paid,,0,,,,,,,,,,
= Cash Due,,6950.9,,,,,,,,,,
Date,Manager,Note,,,,,,,,,,
Order Type,Net Sales,% Total,Guests,% Total,Avg Guest,Checks,% Total,Avg Check,Tables,% Total,Avg Table,Turn Time
Dine Out,38192.8,0.7989117690801768,0,0,0,2569,0.8409165302782324,14.866796418840016,0,0,0,0
Delivery:DoorDash,3892.84,0.08142989493166448,0,0,0,205,0.06710310965630115,18.989463414634148,0,0,0,0
Advance Notice Order,3422.54,0.0715922238261575,0,0,0,78,0.02553191489361702,43.87871794871795,0,0,0,0
Eat In,1300.5,0.02720368120925331,0,0,0,158,0.05171849427168576,8.231012658227849,0,0,0,0
Delivery:Uber Eats,685.11,0.014331037318932361,0,0,0,28,0.009165302782324058,24.468214285714286,0,0,0,0
Drive Thru,112.5,0.002353259620177622,0,0,0,9,0.0029459901800327334,12.5,0,0,0,0
Mobile Ordering,89.96,0.0018817709816104787,0,0,0,3,0.0009819967266775777,29.986666666666665,0,0,0,0
Pickup,54.97,0.0011498549450770122,0,0,0,1,0.0003273322422258593,54.97,0,0,0,0
Delivery:Grubhub,54.81,0.0011465080869505376,0,0,0,4,0.001309328968903437,13.7025,0,0,0,0
Totals,47806.03,,0,,0,3055,,15.648454991816694,0,,0,
Day Part,Net Sales,% Sales,Guests,Avg Guest,Checks,Avg Check,Table Turns,Avg Minutes,,,,
5 AM - 10 AM,381.16,0.007973052771794688,0,0,11,34.650909090909096,0,0,,,,
10 AM - 2 PM,10029.51,0.20979591905037923,0,0,609,16.468817733990146,0,0,,,,
2 PM - 5 PM,13445.29,0.2812467381206932,0,0,880,15.278738636363638,0,0,,,,
5 PM - 9 PM,22511.41,0.47089059685566864,0,0,1456,15.461133241758242,0,0,,,,
9 PM - 12 AM,1438.66,0.030093693201464336,0,0,99,14.531919191919192,0,0,,,,
Totals,47806.03,1,0,0,3055,15.648454991816694,0,0,,,,
Tender Type,Total,% of Total,Count,Average,,,,,,,,
Visa,27984.53,0.5501680709605858,1668,16.777296163069543,,,,,,,,
Cash,6950.9,0.1366527593795549,642,10.826947040498442,,,,,,,,
Mastercard,5042.22,0.0991286418159921,282,17.88021276595745,,,,,,,,
DoorDash Tender,4103.36,0.08067091552571472,205,20.01639024390244,,,,,,,,
BR Advance Notice Order ,3422.54,0.06728618381603849,78,43.87871794871795,,,,,,,,
American Express,1173.74,0.023075401716922815,65,18.05753846153846,,,,,,,,
Gift Card Redeem,779.11,0.015317085752953579,140,5.565071428571429,,,,,,,,
Uber Eats Tender,722.88,0.014211619603258953,28,25.81714285714286,,,,,,,,
Discover,528.77,0.010395471029237545,36,14.688055555555556,,,,,,,,
BR Mobile Tender,89.96,0.0017685885617380137,3,29.986666666666665,,,,,,,,
Grubhub Tender,57.41,0.0011286646212692237,4,14.3525,,,,,,,,
Check,10,0.00019659721673388327,1,10,,,,,,,,
Totals,50865.42,1,3152,16.137506345177666,,,,,,,,
Credit Card Batch Summary,Batch Count,Batch Amount,,,,,,,,,,
,0,0,,,,,,,,,,
Totals,0,0,,,,,,,,,,
Labor Category,Reg Hours,Ovt Hours,Total Hours,Reg Pay,Ovt Pay,Total Pay,% Labor/Sales,,,,,
Major Group Sales,Qty Sold,Gross Sales,Item Discounts,Sales Less Item Disc,% Sales,,,,,,,
Cups and Cones,4371,18705.56,-609.13,18096.43,0.37853864878551935,,,,,,,
Desserts,819,13238.21,-61.86,13176.349999999999,0.27562108796735474,,,,,,,
Beverage,871,6811.99,-48.09,6763.9,0.1414863355103948,,,,,,,
Take Home,883,6803.31,-504.54,6298.77,0.13175680975809956,,,,,,,
Sundaes,696,3397.93,-116.78,3281.1499999999996,0.06863464713551826,,,,,,,
Retail,46,186.54,-0.1,186.44,0.0038999264318748074,,,,,,,
Bakery,1,2.99,0,2.99,6.254441123849858e-05,,,,,,,
Prefixes,283,0,0,0,0,,,,,,,
Totals,7970,49146.53,-1340.5,47806.03,1,,,,,,,
